%time,field.data
1378160000000,cross-track error :-0.0275849699974
1378190000000,cross-track error :-0.0260453224182
1378210000000,cross-track error :-0.0238190293312
1378270000000,cross-track error :-0.0196472406387
1378280000000,cross-track error :-0.0153191685677
1378310000000,cross-track error :-0.0135651230812
1378350000000,cross-track error :-0.00945258140564
1378380000000,cross-track error :-0.00683975219727
1378420000000,cross-track error :-0.00360596179962
1378450000000,cross-track error :-0.00138175487518
1378480000000,cross-track error :0.00275611877441
1378510000000,cross-track error :0.00568640232086
1378540000000,cross-track error :0.00795960426331
1378560000000,cross-track error :0.0100834369659
1378600000000,cross-track error :0.0119392871857
1378640000000,cross-track error :0.0146312713623
1378670000000,cross-track error :0.0177564620972
1378700000000,cross-track error :0.0201915502548
1378750000000,cross-track error :0.022204041481
1378780000000,cross-track error :0.0230301618576
1378800000000,cross-track error :0.0264528989792
1378830000000,cross-track error :0.0269856452942
1378860000000,cross-track error :0.0272645950317
1378890000000,cross-track error :0.0302320718765
1378930000000,cross-track error :0.0314750671387
1378960000000,cross-track error :0.0335732698441
1378990000000,cross-track error :0.0344499349594
1379020000000,cross-track error :0.0359580516815
1379040000000,cross-track error :0.0367732048035
1379070000000,cross-track error :0.0390086174011
1379110000000,cross-track error :0.0400553941727
1379150000000,cross-track error :0.03990650177
1379180000000,cross-track error :0.0414341688156
1379210000000,cross-track error :0.0425984859467
1379240000000,cross-track error :0.0424546003342
1379260000000,cross-track error :0.0435519218445
1379310000000,cross-track error :0.0430978536606
1379330000000,cross-track error :0.0441912412643
1379360000000,cross-track error :0.0448347330093
1379390000000,cross-track error :0.0455076694489
1379420000000,cross-track error :0.045173406601
1379440000000,cross-track error :0.0446934700012
1379450000000,cross-track error :0.0450679063797
1379470000000,cross-track error :0.0463707447052
1379500000000,cross-track error :0.0455493927002
1379560000000,cross-track error :0.0461161136627
1379590000000,cross-track error :0.0456130504608
1379670000000,cross-track error :0.0452815294266
1379700000000,cross-track error :0.0441172122955
1379710000000,cross-track error :0.0448954105377
1379740000000,cross-track error :0.0429660081863
1379760000000,cross-track error :0.0439831018448
1379770000000,cross-track error :0.0432162284851
1379800000000,cross-track error :0.0433520078659
1379820000000,cross-track error :0.041671872139
1379840000000,cross-track error :0.0429700613022
1379880000000,cross-track error :0.0412255525589
1379920000000,cross-track error :0.0404779911041
1379950000000,cross-track error :0.0390267372131
1379990000000,cross-track error :0.0395424365997
1380000000000,cross-track error :0.0366497039795
1380030000000,cross-track error :0.0374376773834
1380090000000,cross-track error :0.0359539985657
1380120000000,cross-track error :0.0339909791946
1380160000000,cross-track error :0.032744884491
1380190000000,cross-track error :0.0320267677307
1380220000000,cross-track error :0.0294244289398
1380240000000,cross-track error :0.0292122364044
1380270000000,cross-track error :0.0280194282532
1380300000000,cross-track error :0.0270342826843
1380320000000,cross-track error :0.025892496109
1380350000000,cross-track error :0.0259160995483
1380410000000,cross-track error :0.0234783887863
1380450000000,cross-track error :0.020947933197
1380470000000,cross-track error :0.0192925930023
1380490000000,cross-track error :0.0188034772873
1380530000000,cross-track error :0.0172517299652
1380550000000,cross-track error :0.015611410141
1380580000000,cross-track error :0.0144772529602
1380620000000,cross-track error :0.0137326717377
1380650000000,cross-track error :0.00989079475403
1380690000000,cross-track error :0.00898814201355
1380720000000,cross-track error :0.00748908519745
1380750000000,cross-track error :0.00665962696075
1380780000000,cross-track error :0.00477433204651
1380810000000,cross-track error :0.00205409526825
1380840000000,cross-track error :0.00104916095734
1380860000000,cross-track error :0.00022566318512
1380880000000,cross-track error :-0.000104367733002
1380900000000,cross-track error :-0.00281417369843
1380920000000,cross-track error :-0.00437384843826
1380930000000,cross-track error :-0.00449019670486
1380960000000,cross-track error :-0.0050248503685
1380980000000,cross-track error :-0.0066282749176
1381010000000,cross-track error :-0.0058861374855
1381030000000,cross-track error :-0.00806534290314
1381050000000,cross-track error :-0.00767928361893
1381070000000,cross-track error :-0.00790596008301
1381110000000,cross-track error :-0.00979351997375
1381130000000,cross-track error :-0.0121941566467
1381160000000,cross-track error :-0.012691617012
1381190000000,cross-track error :-0.0147607326508
1381210000000,cross-track error :-0.0164410471916
1381240000000,cross-track error :-0.0180207490921
1381270000000,cross-track error :-0.0189088582993
1381300000000,cross-track error :-0.0193049311638
