%time,field.data
745100000000,cross-track error :-0.0128353238106
745120000000,cross-track error :-0.010016143322
745140000000,cross-track error :-0.010013461113
745170000000,cross-track error :-0.00471049547195
745190000000,cross-track error :-0.00167065858841
745200000000,cross-track error :0.00243675708771
745220000000,cross-track error :0.00731563568115
745240000000,cross-track error :0.0104688405991
745260000000,cross-track error :0.0167195796967
745290000000,cross-track error :0.019104719162
745320000000,cross-track error :0.0293378829956
745340000000,cross-track error :0.0349303483963
745370000000,cross-track error :0.0406401157379
745390000000,cross-track error :0.051039814949
745400000000,cross-track error :0.057687163353
745420000000,cross-track error :0.0654163360596
745450000000,cross-track error :0.0685969591141
745480000000,cross-track error :0.0750209093094
745480000000,cross-track error :0.0837676525116
745500000000,cross-track error :0.0901650190353
745510000000,cross-track error :0.0984709262848
745540000000,cross-track error :0.106958985329
745550000000,cross-track error :0.115652680397
745580000000,cross-track error :0.12104010582
745600000000,cross-track error :0.131694436073
745620000000,cross-track error :0.137205600739
745630000000,cross-track error :0.146202683449
745650000000,cross-track error :0.153106927872
745670000000,cross-track error :0.165469884872
745690000000,cross-track error :0.174269318581
745710000000,cross-track error :0.182275891304
745730000000,cross-track error :0.18955540657
745790000000,cross-track error :0.198892116547
745820000000,cross-track error :0.223079323769
745850000000,cross-track error :0.2332239151
745860000000,cross-track error :0.242226362228
745890000000,cross-track error :0.248166441917
745910000000,cross-track error :0.254278898239
